,base_name,brand,cpu_GHZ,cpu_benchmark,cpu_brand,cpu_core,cpu_type_name,detachable_keyboard,discrete_gpu,gpu,gpu_benchmark,gpu_brand,gpu_type,max_price,min_price,os_details,pc_name,pixels_x,ram,screen_size,screen_surface,ssd,threading,touchscreen,weight
10,ACER CB3-532,ACER,1.6,759.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,185.0,174.98,CHROME OS,ACER,1366.0,2,15.6,MATTE,16,0.0,0,4.3
11,HP CHROMEBOOK 14,HP,2.16,618.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,236.88,236.87,CHROME OS,HP CHROMEBOOK,1366.0,4,14.0,GLOSSY,16,0.0,0,3.7
12,DELL INSPIRON 15 3000,DELL,2.5,1032.0,AMD,DUAL-CORE,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,288.99,288.98,WINDOWS 10 HOME,DELL INSPIRON,1366.0,4,15.6,,0,0.0,0,5.07
13,HP CHROMEBOOK,HP,1.1,1123.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD 500,317.0,INTEL,HD 500,289.99,289.99,CHROME OS,HP CHROMEBOOK,1366.0,4,14.0,GLOSSY,32,0.0,1,3.4
14,DELL INSPIRON 3185,DELL,1.6,1032.0,AMD,DUAL-CORE,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,288.0,288.0,WINDOWS 10 HOME,DELL INSPIRON,1366.0,4,11.6,GLOSSY,32,0.0,1,3.41
15,DELL INSPIRON I5547-3753SLV,DELL,1.7,2343.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 4400,530.0,INTEL,HD 4400,399.9,399.9,WINDOWS 8.1,DELL INSPIRON,1366.0,6,15.6,GLOSSY,0,1.0,0,6.0
16,MSI GL63 8SC,MSI,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1650,7868.0,NVIDIA,GEFORCE GTX 1650,896.48,839.0,WINDOWS 10 HOME,MSI,1920.0,8,15.6,MATTE,256,1.0,0,5.07
17,ASUS VIVOBOOK S530FA,ASUS,1.6,6068.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,579.99,579.0,WINDOWS 10 HOME,ASUS VIVOBOOK,1920.0,8,15.6,MATTE,256,1.0,0,3.97
18,ASUS FX73VE,ASUS,2.8,7069.0,INTEL,QUAD-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,6657.0,NVIDIA,GEFORCE GTX 1050 TI,1539.0,1539.0,WINDOWS 10 HOME,ASUS,1920.0,8,17.3,MATTE,0,1.0,0,6.6
19,ASUS ROG ZEPHYRUS M GM501,ASUS,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,1649.0,1639.0,WINDOWS 10 PRO,ASUS ROG ZEPHYRUS M,1920.0,16,15.6,MATTE,256,1.0,0,5.4
20,DELL INSPIRON 7567,DELL,2.5,5260.0,INTEL,QUAD-CORE,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050 TI,6657.0,NVIDIA,GEFORCE GTX 1050 TI,763.2,760.0,WINDOWS 10 HOME,DELL INSPIRON,1920.0,8,15.6,MATTE,256,0.0,0,6.61
21,ACER SPIN 3 SP314-53N,ACER,1.8,6777.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,719.0,719.0,WINDOWS 10 HOME,ACER SPIN,1920.0,16,14.0,GLOSSY,512,1.0,1,3.75
22,MSI GF63 THIN 9SC,MSI,2.6,11636.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1650,7868.0,NVIDIA,GEFORCE GTX 1650,949.0,888.95,WINDOWS 10 HOME,MSI,1920.0,16,15.6,MATTE,512,1.0,0,4.1
23,APPLE MACBOOK AIR MJVM2LL/A,APPLE,1.6,2142.0,INTEL,DUAL-CORE,CORE I5,,0,INTEL HD 6000,829.0,INTEL,HD 6000,405.82,380.44,OS X YOSEMITE,APPLE MACBOOK AIR,1366.0,4,11.6,GLOSSY,128,1.0,0,2.38
24,DELL INSPIRON 5575,DELL,2.0,6317.0,AMD,QUAD-CORE,RYZEN 5,0.0,0,AMD RADEON VEGA 8,1509.0,AMD,RADEON VEGA 8,565.0,565.0,WINDOWS 10 HOME,DELL INSPIRON,1920.0,16,15.6,GLOSSY,0,1.0,1,4.89
25,ASUS ROG STRIX SCAR II GL704GM,ASUS,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,10210.0,NVIDIA,GEFORCE GTX 1060,1599.0,1588.0,WINDOWS 10 HOME,ASUS ROG STRIX SCAR II,1920.0,16,17.3,MATTE,256,1.0,0,6.39
26,HP 15-F215DX,HP,2.0,2341.0,AMD,QUAD-CORE,A8,0.0,0,AMD RADEON R5,148.0,AMD,RADEON R5,449.99,449.99,WINDOWS 8.1,HP,1366.0,4,15.6,GLOSSY,0,0.0,0,4.8
27,DELL INSPIRON I7559-2512,DELL,2.6,6661.0,INTEL,QUAD-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 960M,3467.0,NVIDIA,GEFORCE GTX 960M,809.99,809.99,WINDOWS 10,DELL INSPIRON,1920.0,8,15.6,MATTE,8,1.0,0,5.67
28,DELL INSPIRON I3552,DELL,1.6,1243.0,INTEL,QUAD-CORE,PENTIUM,0.0,0,INTEL HD,10.0,INTEL,HD,399.99,399.99,WINDOWS 10,DELL INSPIRON,1366.0,4,15.6,GLOSSY,0,0.0,0,4.85
29,SAMSUNG NOTEBOOK 9 NP900X5L-K02US,SAMSUNG,2.5,3369.0,INTEL,DUAL-CORE,CORE I7,0.0,0,INTEL HD 520,864.0,INTEL,HD 520,722.0,722.0,WINDOWS 10,SAMSUNG NOTEBOOK,1920.0,8,15.0,MATTE,256,1.0,0,2.9
30,HP OMEN 15T,HP,2.6,11636.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,16632.0,NVIDIA,GEFORCE RTX 2070,2199.99,2199.99,WINDOWS 10 HOME,HP OMEN,3840.0,64,15.6,MATTE,2000,1.0,0,5.26
31,SAMSUNG CHROMEBOOK PLUS XE513C24-K01US,SAMSUNG,2.0,,OP1,HEXA-CORE,,0.0,0,,,,,584.97,559.0,CHROME OS,SAMSUNG CHROMEBOOK PLUS,2400.0,4,12.3,GLOSSY,32,0.0,1,2.38
32,HP 15-BS289WM,HP,1.1,2801.0,INTEL,QUAD-CORE,PENTIUM,0.0,0,INTEL UHD 605,355.0,INTEL,UHD 605,360.0,325.99,WINDOWS 10 HOME,HP,1366.0,4,15.6,GLOSSY,0,0.0,1,
33,HP 15-DB0030NR,HP,2.5,4061.0,AMD,DUAL-CORE,RYZEN 3,0.0,0,AMD RADEON VEGA 3,904.0,AMD,RADEON VEGA 3,551.57,475.0,WINDOWS 10 HOME,HP,1366.0,8,15.6,GLOSSY,0,1.0,1,4.6
34,LENOVO IDEAPAD 320,LENOVO,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,693.0,693.0,WINDOWS 10 HOME,LENOVO IDEAPAD,1600.0,8,17.3,MATTE,0,1.0,0,6.17
35,LENOVO IDEAPAD,LENOVO,2.7,2741.0,AMD,QUAD-CORE,A12,0.0,0,AMD RADEON R7,551.0,AMD,RADEON R7,424.22,424.22,WINDOWS 10 HOME,LENOVO IDEAPAD,1366.0,8,15.6,MATTE,0,0.0,0,4.85
36,ACER PREDATOR TRITON 500 PT515-51,ACER,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,15156.0,NVIDIA,GEFORCE RTX 2060,1652.6,1637.0,WINDOWS 10 HOME,ACER PREDATOR TRITON,1920.0,16,15.6,MATTE,512,1.0,0,4.41
37,HP SPECTRE X360 (15-BL012DX),HP,2.7,3500.0,INTEL,DUAL-CORE,CORE I7,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,1499.77,1499.77,WINDOWS 10,HP SPECTRE,3840.0,16,15.6,GLOSSY,512,1.0,1,4.42
38,APPLE MACBOOK PRO 2012,APPLE,2.9,1302.0,INTEL,DUAL-CORE,CORE I7,0.0,0,INTEL HD 4000,329.0,INTEL,HD 4000,529.99,479.95,OS X LION,APPLE MACBOOK PRO,1280.0,8,13.3,GLOSSY,0,1.0,0,4.5
39,MICROSOFT SURFACE PRO 7,MICROSOFT,1.3,8923.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL IRIS PLUS,1888.0,INTEL,IRIS PLUS,1259.0,1250.36,WINDOWS 10 HOME,MICROSOFT SURFACE PRO,2736.0,16,12.3,GLOSSY,256,1.0,1,1.74
40,DELL INSPIRON 15 I7537T-1122SLV,DELL,1.7,2343.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD,10.0,INTEL,HD,669.0,669.0,WINDOWS 8.1,DELL INSPIRON,1366.0,6,15.6,GLOSSY,0,1.0,1,5.7
41,ACER ASPIRE E 15 E5-575G-57D4,ACER,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,999.0,999.0,WINDOWS 10,ACER ASPIRE E,1920.0,8,15.6,MATTE,256,1.0,0,5.27
42,LENOVO YOGA 720,LENOVO,1.8,6134.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,999.0,995.49,WINDOWS 10 HOME,LENOVO YOGA,1920.0,16,13.3,GLOSSY,512,1.0,1,2.9
43,PROSTAR NH58RDQ,OTHER,2.6,11636.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,15156.0,NVIDIA,GEFORCE RTX 2060,1449.0,1399.0,WINDOWS 10 HOME,PROSTAR,1920.0,32,15.6,MATTE,500,1.0,0,5.0
44,DELL INSPIRON 15.6-INCH,DELL,1.9,1115.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL HD (UMA),,INTEL,HD (UMA),417.57,417.57,WINDOWS 8,DELL INSPIRON,1366.0,4,15.6,GLOSSY,0,0.0,1,6.0
45,MSI GP73 LEOPARD,MSI,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,1649.0,1649.0,WINDOWS 10 HOME,MSI,1920.0,16,17.3,MATTE,256,1.0,0,5.95
46,DELL INSPIRON 3583,DELL,1.6,6068.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,445.0,431.05,WINDOWS 10 HOME,DELL INSPIRON,1366.0,8,15.6,GLOSSY,256,1.0,1,4.41
47,DELL INSPIRON 15 I3542-6003BK,DELL,1.9,1863.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL HD,10.0,INTEL,HD,498.88,498.88,WINDOWS 8.1,DELL INSPIRON,1366.0,4,15.6,GLOSSY,0,1.0,1,5.3
48,ACER CHROMEBOOK 11 CB3-131-C3SZ,ACER,2.16,618.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,139.99,134.99,CHROME OS,ACER CHROMEBOOK,1366.0,2,11.6,MATTE,16,0.0,0,2.43
49,LENOVO YOGA 710,LENOVO,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,824.99,824.99,WINDOWS 10,LENOVO YOGA,1920.0,8,14.0,GLOSSY,256,1.0,1,3.42
50,DELL INSPIRON 7570,DELL,1.8,6134.0,INTEL,QUAD-CORE,CORE I7,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,899.99,899.99,WINDOWS 10 HOME,DELL INSPIRON,1920.0,8,15.6,GLOSSY,0,1.0,1,4.41
51,ASUS FX502VM,ASUS,2.3,4398.0,INTEL,QUAD-CORE,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1060,10210.0,NVIDIA,GEFORCE GTX 1060,799.9,799.9,WINDOWS 10,ASUS,1920.0,16,15.6,MATTE,0,0.0,0,4.9
52,DELL XPS 9370,DELL,1.8,6134.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,1079.99,1072.0,WINDOWS 10 HOME,DELL XPS,3840.0,8,13.3,GLOSSY,256,1.0,1,2.68
53,DELL LATITUDE 5500,DELL,1.9,6807.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,1199.0,1199.0,WINDOWS 10 PRO,DELL LATITUDE,1920.0,16,15.6,MATTE,512,1.0,0,4.03
54,RAZER BLADE 15,RAZER,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,2999.11,2999.11,WINDOWS 10 HOME,RAZER BLADE,1920.0,16,15.6,MATTE,256,1.0,0,4.63
55,ACER ASPIRE E 15 E5-573G,ACER,2.2,2546.0,INTEL,DUAL-CORE,CORE I5,0.0,1,NVIDIA GEFORCE 940M,1048.0,NVIDIA,GEFORCE 940M,789.0,789.0,WINDOWS 10,ACER ASPIRE E,1920.0,8,15.6,MATTE,0,1.0,0,5.29
56,ALIENWARE 15 R3,ALIENWARE,2.8,7069.0,INTEL,QUAD-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,1496.79,1491.79,WINDOWS 10 HOME,ALIENWARE,1920.0,16,15.6,MATTE,128,1.0,0,7.69
57,LENOVO IDEAPAD 330,LENOVO,1.1,2645.0,INTEL,QUAD-CORE,CELERON,0.0,0,INTEL UHD 600,345.0,INTEL,UHD 600,255.0,255.0,WINDOWS 10 HOME,LENOVO IDEAPAD,1366.0,4,15.6,MATTE,0,0.0,0,4.85
58,HP 15-BA009DX,HP,2.0,2076.0,AMD,QUAD-CORE,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,465.0,465.0,WINDOWS 10,HP,1366.0,4,15.6,GLOSSY,0,0.0,0,4.74
59,ASUS C302CA-DHM4,ASUS,0.9,1862.0,INTEL,DUAL-CORE,CORE M3,0.0,0,INTEL HD 515,688.0,INTEL,HD 515,599.9,509.97,CHROME OS,ASUS,1920.0,4,12.5,GLOSSY,64,1.0,1,2.65
60,HP,HP,1.1,2801.0,INTEL,QUAD-CORE,PENTIUM,0.0,0,INTEL UHD 605,355.0,INTEL,UHD 605,407.98,379.0,WINDOWS 10 HOME,HP,1366.0,8,15.6,GLOSSY,0,0.0,1,4.3
61,HP PAVILION 14-BK091ST,HP,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,475.0,440.0,WINDOWS 10 HOME,HP PAVILION,1366.0,8,14.0,GLOSSY,0,1.0,0,3.63
62,PROSTAR P950RF,OTHER,2.6,11636.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,16632.0,NVIDIA,GEFORCE RTX 2070,1799.0,1679.0,WINDOWS 10 HOME,PROSTAR,1920.0,32,15.6,MATTE,500,1.0,0,4.6
63,ACER PREDATOR HELIOS 500 PH517-51,ACER,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,1529.0,1529.0,WINDOWS 10 HOME,ACER PREDATOR HELIOS,1920.0,16,17.3,MATTE,256,1.0,0,8.82
64,HP CHROMEBOOK 11 G5,HP,1.6,759.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,142.84,140.89,CHROME OS,HP CHROMEBOOK,1366.0,4,11.6,MATTE,16,0.0,0,2.51
65,APPLE MACBOOK 2017,APPLE,1.2,2644.0,INTEL,DUAL-CORE,CORE M3,0.0,0,INTEL HD 615,799.0,INTEL,HD 615,899.99,799.99,MACOS HIGH SIERRA,APPLE MACBOOK,2304.0,8,12.0,GLOSSY,256,1.0,0,2.03
66,DELL INSPIRON,DELL,2.2,2546.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 4400,530.0,INTEL,HD 4400,588.0,588.0,WINDOWS 10,DELL INSPIRON,1920.0,8,15.6,GLOSSY,0,1.0,1,5.3
67,DELL INSPIRON 15 3000,DELL,1.6,759.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,379.0,378.99,WINDOWS 10 HOME,DELL INSPIRON,1366.0,4,15.6,GLOSSY,0,0.0,0,5.07
68,LENOVO YOGA 710,LENOVO,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,540.0,499.99,WINDOWS 10 HOME,LENOVO YOGA,1920.0,8,15.6,GLOSSY,256,1.0,1,4.45
69,DELL INSPIRON 5379,DELL,1.6,6372.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,642.0,623.0,WINDOWS 10 HOME,DELL INSPIRON,1920.0,8,13.3,GLOSSY,256,1.0,1,3.56
70,DELL INSPIRON 5570,DELL,1.8,6134.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,748.0,733.0,WINDOWS 10 HOME,DELL INSPIRON,1920.0,12,15.6,GLOSSY,0,1.0,1,4.85
71,DELL G3 3579,DELL,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,6657.0,NVIDIA,GEFORCE GTX 1050 TI,1099.0,1065.0,WINDOWS 10 HOME,DELL,1920.0,16,15.6,MATTE,256,1.0,0,5.57
72,MSI GS65 STEALTH,MSI,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2080 MAX-Q,14482.0,NVIDIA,GEFORCE RTX 2080 MAX-Q,2799.0,2399.0,WINDOWS 10 PRO,MSI,1920.0,16,15.6,MATTE,256,1.0,0,4.19
73,DELL INSPIRON 5379,DELL,1.8,6134.0,INTEL,QUAD-CORE,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,850.0,750.0,WINDOWS 10 HOME,DELL INSPIRON,1920.0,16,13.3,GLOSSY,256,1.0,1,3.72
74,HP 14-CF0014DX,HP,2.4,2806.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,339.0,328.0,WINDOWS 10 HOME,HP,1366.0,8,14.0,GLOSSY,128,1.0,0,3.15
75,ASUS ZENBOOK UX390UA-XH74-BL,ASUS,2.7,3500.0,INTEL,DUAL-CORE,CORE I7,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,1968.88,1968.88,WINDOWS 10,ASUS ZENBOOK,1920.0,16,12.5,GLOSSY,512,1.0,0,2.1
76,ALIENWARE 17 R5,ALIENWARE,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,10210.0,NVIDIA,GEFORCE GTX 1060,1699.0,1699.0,WINDOWS 10 HOME,ALIENWARE,1920.0,8,17.3,MATTE,256,1.0,0,9.74
77,LENOVO IDEAPAD 330,LENOVO,2.2,3676.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,399.0,373.91,WINDOWS 10 HOME,LENOVO IDEAPAD,1366.0,8,15.6,MATTE,0,1.0,0,4.85
78,DELL XPS9360-7336SLV,DELL,2.7,3500.0,INTEL,DUAL-CORE,CORE I7,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,1799.33,1799.33,WINDOWS 10,DELL,3200.0,16,13.3,GLOSSY,512,1.0,1,2.7
79,ACER CHROMEBOOK CB3-431,ACER,1.6,1294.0,INTEL,QUAD-CORE,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,249.0,248.46,CHROME OS,ACER CHROMEBOOK,1920.0,4,14.0,MATTE,16,0.0,0,3.42
80,DELL INSPIRON I3558-0954,DELL,2.0,2151.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL HD 5500,568.0,INTEL,HD 5500,399.99,399.99,WINDOWS 10,DELL INSPIRON,1366.0,6,15.6,GLOSSY,0,1.0,0,4.85
81,HP ELITEBOOK FOLIO 9470M,HP,1.8,2352.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 4000,329.0,INTEL,HD 4000,229.98,204.99,WINDOWS 10 PRO,HP ELITEBOOK FOLIO,1366.0,8,14.0,MATTE,180,1.0,0,3.6
82,ASUS ZENBOOK PRO DUO UX581GV,ASUS,2.6,11636.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,15156.0,NVIDIA,GEFORCE RTX 2060,2499.97,2489.94,WINDOWS 10 PRO,ASUS ZENBOOK PRO DUO,3840.0,16,15.6,GLOSSY,1000,1.0,1,5.51
83,APPLE MACBOOK PRO 2019,APPLE,2.3,13917.0,INTEL,OCTA-CORE,CORE I9,0.0,1,AMD RADEON PRO 5500M,7017.0,AMD,RADEON PRO 5500M,2652.49,2568.92,MACOS CATALINA,APPLE MACBOOK PRO,3072.0,16,16.0,GLOSSY,1000,1.0,0,4.3
84,LENOVO LEGION Y720,LENOVO,2.8,7069.0,INTEL,QUAD-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,10210.0,NVIDIA,GEFORCE GTX 1060,1099.99,1099.99,WINDOWS 10 HOME,LENOVO LEGION,1920.0,8,15.6,MATTE,256,1.0,0,7.05
85,MSI GL62M 7RD,MSI,2.5,5260.0,INTEL,QUAD-CORE,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050,5595.0,NVIDIA,GEFORCE GTX 1050,899.0,898.99,WINDOWS 10 HOME,MSI,1920.0,8,15.6,MATTE,256,0.0,0,5.29
86,ASUS VIVOBOOK F510QA,ASUS,2.7,2741.0,AMD,QUAD-CORE,A12,0.0,0,AMD RADEON R7,551.0,AMD,RADEON R7,388.02,355.0,WINDOWS 10 S,ASUS VIVOBOOK,1920.0,8,15.6,MATTE,256,0.0,0,3.7
87,MSI GL63 8RCS,MSI,2.3,7584.0,INTEL,QUAD-CORE,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050,5595.0,NVIDIA,GEFORCE GTX 1050,699.0,683.99,WINDOWS 10 HOME,MSI,1920.0,8,15.6,MATTE,256,1.0,0,5.07
88,LENOVO YOGA BOOK,LENOVO,1.44,1395.0,INTEL,QUAD-CORE,ATOM,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,599.99,599.99,ANDROID 6,LENOVO YOGA BOOK,1920.0,4,10.1,GLOSSY,64,0.0,1,1.52
89,HP ENVY X360,HP,2.0,6317.0,AMD,QUAD-CORE,RYZEN 5,0.0,0,AMD RADEON VEGA 8,1509.0,AMD,RADEON VEGA 8,749.0,749.0,WINDOWS 10 HOME,HP ENVY,1920.0,8,15.6,GLOSSY,128,1.0,1,4.49
90,DELL LATITUDE 3500,DELL,1.6,6068.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,849.99,849.99,WINDOWS 10 PRO,DELL LATITUDE,1920.0,16,15.6,MATTE,256,1.0,0,4.37
91,MICROSOFT SURFACE LAPTOP,MICROSOFT,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,553.0,540.0,WINDOWS 10 S,MICROSOFT SURFACE LAPTOP,2256.0,4,13.5,GLOSSY,128,1.0,1,2.76
92,HP 15-BS234WM,HP,1.1,2801.0,INTEL,QUAD-CORE,PENTIUM,0.0,0,INTEL UHD 605,355.0,INTEL,UHD 605,249.28,242.99,WINDOWS 10 HOME,HP,1366.0,4,15.6,GLOSSY,0,0.0,1,4.49
93,LENOVO THINKPAD E590,LENOVO,1.6,6068.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,819.95,768.99,WINDOWS 10 PRO,LENOVO THINKPAD,1366.0,16,15.6,MATTE,512,1.0,0,4.68
